mep_name,jurisdiction,political_group,email,staff_contact_name,staff_contact_email,staff_contact_phone,policy_briefs,committee_memberships,last_verified,role_tags,topic_tags
Alexandre VARAUT,France,PfE,alexandre.varaut@europarl.europa.eu,N/A,N/A,N/A,"National sovereignty, conservative values",JURI; AFET,2024-12-15,,
Ana VASCONCELOS,Portugal,Renew Europe,ana.vasconcelos@europarl.europa.eu,N/A,N/A,N/A,"Liberal policies, economic reform",ECON; EMPL,2024-12-15,,
Vlad VASILE-VOICULESCU,Romania,Renew Europe,vlad.voiculescu@europarl.europa.eu,N/A,N/A,N/A,"Progressive reform, anti-corruption, health policy",SANT; ENVI,2024-12-15,,
Hilde VAUTMANS,Belgium,Renew Europe,hilde.vautmans@europarl.europa.eu,N/A,N/A,N/A,"Liberal policies, foreign affairs, agriculture",AFET; AGRI,2024-12-15,,
Francesco VENTOLA,Italy,ECR,francesco.ventola@europarl.europa.eu,N/A,N/A,N/A,"Conservative national policies, regional development",REGI; TRAN,2024-12-15,,
Sabine VERHEYEN,Germany,EPP,sabine.verheyen@europarl.europa.eu,N/A,N/A,N/A,"Culture, education, media, digital cultural policy, AI in media",IMCO; CULT,2024-12-15,,
Yvan VEROUGSTRAETE,Belgium,Renew Europe,yvan.verougstraete@europarl.europa.eu,N/A,N/A,N/A,"Christian democratic/centrist policies, industry, research",ITRE; IMCO,2024-12-15,vice_chair,
Aurelijus VERYGA,Lithuania,ECR,aurelijus.veryga@europarl.europa.eu,N/A,N/A,N/A,"Health policy, conservative values, public health",SANT; ENVI,2024-12-15,,
Marko VEŠLIGAJ,Croatia,S&D,marko.vesligaj@europarl.europa.eu,N/A,N/A,N/A,"Social democratic policies, workers' rights",EMPL; REGI,2024-12-15,,
Annamária VICSEK,Hungary,PfE,annamaria.vicsek@europarl.europa.eu,N/A,N/A,N/A,"Hungarian government policies, family values",FEMM; CULT,2024-12-15,,
Catarina VIEIRA,Netherlands,Greens/EFA,catarina.vieira@europarl.europa.eu,N/A,N/A,N/A,"Green progressive policies, environment, climate",ENVI; TRAN,2024-12-15,,
Kristian VIGENIN,Bulgaria,S&D,kristian.vigenin@europarl.europa.eu,N/A,N/A,N/A,"Foreign affairs, European integration, security",AFET; SEDE,2024-12-15,,
Harald VILIMSKY,Austria,PfE,harald.vilimsky@europarl.europa.eu,N/A,N/A,N/A,"National sovereignty, migration control, security",LIBE; AFET,2024-12-15,coordinator,
Loránt VINCZE,Romania,EPP,lorant.vincze@europarl.europa.eu,N/A,N/A,N/A,"Minority rights, Hungarian community interests, regional policy",REGI; CULT,2024-12-15,,
Marianne VIND,Denmark,S&D,marianne.vind@europarl.europa.eu,N/A,N/A,N/A,"Labour rights, social policies, workers' rights",EMPL; INTA,2024-12-15,,
Anders VISTISEN,Denmark,PfE,anders.vistisen@europarl.europa.eu,N/A,N/A,N/A,"Right-wing Eurosceptic policies, sovereignty",AFET; LIBE,2024-12-15,,
Mariateresa VIVALDINI,Italy,ECR,mariateresa.vivaldini@europarl.europa.eu,N/A,N/A,N/A,"Conservative national policies, industry, internal market",ITRE; IMCO,2024-12-15,,
Petar VOLGIN,Bulgaria,ESN,petar.volgin@europarl.europa.eu,N/A,N/A,N/A,"Nationalist policies, Bulgarian sovereignty",CULT; AFET,2024-12-15,,
Michael VON DER SCHULENBURG,Germany,NI,michael.vonderschulenburg@europarl.europa.eu,N/A,N/A,N/A,"Peace policy, foreign affairs, diplomacy",AFET; SEDE,2024-12-15,,
Alexandr VONDRA,Czechia,ECR,alexandr.vondra@europarl.europa.eu,N/A,N/A,N/A,"Foreign affairs, defence, security, transatlantic relations",AFET; SEDE,2024-12-15,,
Axel VOSS,Germany,EPP,axel.voss@europarl.europa.eu,N/A,N/A,N/A,"AI Act, copyright, data protection, digital policy, cybersecurity, GDPR implementation",JURI; IMCO; LIBE,2024-12-15,ai_act_architect; coordinator,
Elissavet VOZEMBERG-VRIONIDI,Greece,EPP,elissavet.vozemberg@europarl.europa.eu,N/A,N/A,N/A,"Conservative policies, women's rights, justice",FEMM; LIBE,2024-12-15,,"women-rights, justice"
Veronika VRECIONOVÁ,Czechia,ECR,veronika.vrecionova@europarl.europa.eu,N/A,N/A,N/A,"Agricultural policy, rural affairs, food security",AGRI; ENVI,2024-12-15,agri_chair; chair,
Adrián VÁZQUEZ LÁZARA,Spain,EPP,adrian.vazquez@europarl.europa.eu,N/A,N/A,N/A,"Center-right policies, legal affairs, justice",JURI; LIBE,2024-12-15,,
Thomas WAITZ,Austria,Greens/EFA,thomas.waitz@europarl.europa.eu,N/A,N/A,N/A,"Agriculture, food safety, animal welfare, environmental protection, sustainable farming",AGRI; AFET,2024-12-15,,
Maria WALSH,Ireland,EPP,maria.walsh@europarl.europa.eu,N/A,N/A,N/A,"Agriculture, rural affairs, social issues, LGBTQ+ rights",AGRI; EMPL,2024-12-15,,
Marion WALSMANN,Germany,EPP,marion.walsmann@europarl.europa.eu,N/A,N/A,N/A,"Intellectual property, standard-essential patents, digital policy, technology innovation, AI governance",JURI; ITRE,2024-12-15,,
Maciej WĄSIK,Poland,ECR,maciej.wasik@europarl.europa.eu,N/A,N/A,N/A,"Security, justice, budgetary matters",CONT; LIBE,2024-12-15,,
Michał WAWRYKIEWICZ,Poland,EPP,michal.wawrykiewicz@europarl.europa.eu,N/A,N/A,N/A,"Rule of law, legal affairs, judicial independence",JURI; LIBE,2024-12-15,,
Marta WCISŁO,Poland,EPP,marta.wcislo@europarl.europa.eu,N/A,N/A,N/A,"Technology, energy policy, industry",ITRE; AGRI,2024-12-15,,
Manfred WEBER,Germany,EPP,manfred.weber@europarl.europa.eu,N/A,N/A,N/A,"EU governance, migration, security, economic policy, digital transformation",EPP Group Leader; AFCO; Special Committees,2024-12-15,,
Charlie WEIMERS,Sweden,ECR,charlie.weimers@europarl.europa.eu,N/A,N/A,N/A,"Trade policy, foreign affairs, China relations, security",AFET; INTA,2024-12-15,,
Sophie WILMÈS,Belgium,Renew Europe,sophie.wilmes@europarl.europa.eu,N/A,N/A,N/A,"Human rights, democracy, rule of law, digital policy, transatlantic relations",EP Vice-President; LIBE; ITRE; EUDS,2024-12-15,ep_vice_president,
Angelika WINZIG,Austria,EPP,angelika.winzig@europarl.europa.eu,N/A,N/A,N/A,"Budget, economic policy, digital investment, research funding",BUDG; ECON,2024-12-15,,
Jadwiga WIŚNIEWSKA,Poland,ECR,jadwiga.wisniewska@europarl.europa.eu,N/A,N/A,N/A,"Justice and home affairs, environment, women's rights, data protection",LIBE; ENVI; FEMM,2024-12-15,,
Tiemo WÖLKEN,Germany,S&D,tiemo.wolken@europarl.europa.eu,N/A,N/A,N/A,"Legal affairs, environmental law, digital policy, AI regulation, consumer protection",JURI; ENVI,2024-12-15,,
Sander WOLTERS,Netherlands,EPP,sander.wolters@europarl.europa.eu,N/A,N/A,N/A,"Environmental policy, agriculture, sustainability",ENVI; AGRI,2024-12-15,,
Stéphanie YON-COURTIN,France,Renew Europe,stephanie.yon-courtin@europarl.europa.eu,N/A,N/A,N/A,"Digital policy, fintech, AI regulation, data protection, banking regulation, digital euro",ECON; ITRE,2024-12-15,,
Ewa ZAJĄCZKOWSKA-HERNIK,Poland,ESN,ewa.zajaczkowska-hernik@europarl.europa.eu,N/A,N/A,N/A,"National sovereignty, migration policy, EU reform",LIBE,2024-12-15,,
Anna ZALEWSKA,Poland,ECR,anna.zalewska@europarl.europa.eu,N/A,N/A,N/A,"Environment, employment, education",ENVI; EMPL,2024-12-15,,
Tomáš ZDECHOVSKÝ,Czechia,EPP,tomas.zdechovsky@europarl.europa.eu,N/A,N/A,N/A,"Rule of law, migration, security, media, internal market, consumer protection, data protection",CONT; LIBE; EUDS; IMCO,2024-12-15,,
Bogdan Andrzej ZDROJEWSKI,Poland,EPP,bogdan.zdrojewski@europarl.europa.eu,N/A,N/A,N/A,"Culture, education, media, digital heritage",CULT,2024-12-15,,
Roberts ZĪLE,Latvia,ECR,roberts.zile@europarl.europa.eu,N/A,N/A,N/A,"Transport, economics, monetary affairs, Baltic relations, digital infrastructure",EP Vice-President; TRAN; ECON,2024-12-15,coordinator; ep_vice_president,
Bernhard ZIMNIOK,Germany,ESN,bernhard.zimniok@europarl.europa.eu,N/A,N/A,N/A,"Foreign policy, development cooperation",AFET; DEVE,2024-12-15,,
Kosma ZŁOTOWSKI,Poland,ECR,kosma.zlotowski@europarl.europa.eu,N/A,N/A,N/A,"Transport, infrastructure, technology, energy, digital connectivity",TRAN; ITRE,2024-12-15,,
Carlos ZORRINHO,Portugal,S&D,carlos.zorrinho@europarl.europa.eu,N/A,N/A,N/A,"Digital policy, AI governance, cybersecurity, data protection, energy, industrial strategy",ITRE; AIDA,2024-12-15,,
Željana ZOVKO,Croatia,EPP,zeljana.zovko@europarl.europa.eu,N/A,N/A,N/A,"Foreign affairs, transatlantic relations, Western Balkans, security, trade",EPP Group Vice-President; AFET; INTA; PECH,2024-12-15,,
Milan ZVER,Slovenia,EPP,milan.zver@europarl.europa.eu,N/A,N/A,N/A,"Education, culture, European values",CULT,2024-12-15,,
